SampleDate,SampleMonth,SampleLocation,CalciumConc_mgL
10/11/1944 0:00,10.00,USGS-09180500,165
10/14/1944 0:00,10.00,USGS-09180500,165
1/11/1945 0:00,1.00,USGS-09180500,120
5/11/1945 0:00,5.00,USGS-09180500,50
6/11/1945 0:00,6.00,USGS-09180500,45
9/11/1945 0:00,9.00,USGS-09180500,163
9/19/1945 0:00,9.00,USGS-09180500,163
10/11/1945 0:00,10.00,USGS-09180500,166
1/11/1946 0:00,1.00,USGS-09180500,112
5/11/1946 0:00,5.00,USGS-09180500,64
6/11/1946 0:00,6.00,USGS-09180500,51
9/11/1946 0:00,9.00,USGS-09180500,200
10/14/1946 0:00,10.00,USGS-09180500,154
1/11/1947 0:00,1.00,USGS-09180500,125
5/11/1947 0:00,5.00,USGS-09180500,50
6/11/1947 0:00,6.00,USGS-09180500,51
6/20/1947 0:00,6.00,USGS-09180500,51
9/11/1947 0:00,9.00,USGS-09180500,144
9/19/1947 0:00,9.00,USGS-09180500,144
10/11/1947 0:00,10.00,USGS-09180500,170
1/11/1948 0:00,1.00,USGS-09180500,100
5/11/1948 0:00,5.00,USGS-09180500,59
5/11/1948 0:00,5.00,USGS-09180500,59
5/15/1948 0:00,5.00,USGS-09180500,59
5/20/1948 0:00,5.00,USGS-09180500,59
6/11/1948 0:00,6.00,USGS-09180500,58
6/11/1948 0:00,6.00,USGS-09180500,58
6/19/1948 0:00,6.00,USGS-09180500,58
9/11/1948 0:00,9.00,USGS-09180500,197
9/11/1948 0:00,9.00,USGS-09180500,197
9/14/1948 0:00,9.00,USGS-09180500,197
10/12/1948 0:00,10.00,USGS-09180500,148
10/12/1948 0:00,10.00,USGS-09180500,148
10/14/1948 0:00,10.00,USGS-09180500,148
10/19/1948 0:00,10.00,USGS-09180500,148
1/11/1949 0:00,1.00,USGS-09180500,114
5/11/1949 0:00,5.00,USGS-09180500,50
6/11/1949 0:00,6.00,USGS-09180500,52
9/11/1949 0:00,9.00,USGS-09180500,160
5/12/1947 0:00,5.00,USGS-09270000,9
5/12/1947 0:00,5.00,USGS-09271000,14
9/9/1949 0:00,9.00,USGS-09271000,29
5/12/1947 0:00,5.00,USGS-09271500,56
6/18/1947 0:00,6.00,USGS-09271500,66
6/22/1947 0:00,6.00,USGS-09271500,57
9/19/1947 0:00,9.00,USGS-09271500,288
6/8/1948 0:00,6.00,USGS-09271500,181
9/30/1948 0:00,9.00,USGS-09271500,319
10/6/1948 0:00,10.00,USGS-09271500,328
9/10/1949 0:00,9.00,USGS-09271500,231
9/20/1947 0:00,9.00,USGS-09274500,38
6/9/1948 0:00,6.00,USGS-09275500,52
5/14/1947 0:00,5.00,USGS-09279100,9.6
5/14/1947 0:00,5.00,USGS-09279100,9.6
5/14/1947 0:00,5.00,USGS-09279100,24
9/20/1947 0:00,9.00,USGS-09279100,22
9/20/1947 0:00,9.00,USGS-09279100,22
6/9/1948 0:00,6.00,USGS-09279100,20
5/14/1947 0:00,5.00,USGS-09279150,24
9/20/1947 0:00,9.00,USGS-09279150,51
6/9/1948 0:00,6.00,USGS-09279150,20
5/18/1941 0:00,5.00,USGS-09279500,23
5/11/1947 0:00,5.00,USGS-09279500,35
5/14/1947 0:00,5.00,USGS-09279500,26
6/22/1947 0:00,6.00,USGS-09279500,21
9/20/1947 0:00,9.00,USGS-09279500,53
6/9/1948 0:00,6.00,USGS-09279500,23
9/29/1948 0:00,9.00,USGS-09279500,61
9/10/1949 0:00,9.00,USGS-09279500,54
9/10/1949 0:00,9.00,USGS-09282500,36
5/11/1947 0:00,5.00,USGS-09286500,67
6/22/1947 0:00,6.00,USGS-09286500,54
5/11/1947 0:00,5.00,USGS-09288000,50
9/29/1948 0:00,9.00,USGS-09288000,60
9/10/1949 0:00,9.00,USGS-09288000,47
10/14/1949 0:00,10.00,USGS-09288180,50
10/14/1949 0:00,10.00,USGS-09288180,50
5/18/1941 0:00,5.00,USGS-09288500,47
5/11/1947 0:00,5.00,USGS-09288500,58
5/11/1947 0:00,5.00,USGS-09288500,58
6/22/1947 0:00,6.00,USGS-09288500,54
6/22/1947 0:00,6.00,USGS-09288500,54
9/20/1947 0:00,9.00,USGS-09288500,59
9/20/1947 0:00,9.00,USGS-09288500,59
6/9/1948 0:00,6.00,USGS-09288500,51
6/9/1948 0:00,6.00,USGS-09288500,51
9/29/1948 0:00,9.00,USGS-09288500,51
9/29/1948 0:00,9.00,USGS-09288500,51
9/10/1949 0:00,9.00,USGS-09288500,40
9/10/1949 0:00,9.00,USGS-09289000,53
9/10/1949 0:00,9.00,USGS-09293500,55
5/18/1941 0:00,5.00,USGS-09294000,16
5/14/1947 0:00,5.00,USGS-09294500,86
6/9/1948 0:00,6.00,USGS-09294500,88
5/19/1941 0:00,5.00,USGS-09295000,33
6/16/1941 0:00,6.00,USGS-09295000,3.4
5/11/1947 0:00,5.00,USGS-09295000,42
6/22/1947 0:00,6.00,USGS-09295000,32
9/20/1947 0:00,9.00,USGS-09295000,97
6/9/1948 0:00,6.00,USGS-09295000,37
9/29/1948 0:00,9.00,USGS-09295000,126
9/10/1949 0:00,9.00,USGS-09295000,93
6/16/1941 0:00,6.00,USGS-09297000,4
9/10/1949 0:00,9.00,USGS-09297500,45
6/16/1941 0:00,6.00,USGS-09299500,3.4
5/11/1947 0:00,5.00,USGS-09300500,26
6/22/1947 0:00,6.00,USGS-09300500,17
9/20/1947 0:00,9.00,USGS-09300500,76
6/9/1948 0:00,6.00,USGS-09300500,62
9/29/1948 0:00,9.00,USGS-09300500,112
10/14/1949 0:00,10.00,USGS-09300500,98
6/8/1948 0:00,6.00,USGS-09306420,184
