Param,ParamGroup,ProjectId,ResultStatus,ResultValue,SampleDate,SampleId,SampMedia,StationId,Unit,USGSPCode
Calcium,"Inorganics, Major, Metals",USGS,Historical,83,7/11/1930 0:00,nwisaz.01.93000029,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,100,7/21/1930 0:00,nwisaz.01.93000030,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,126,8/1/1930 0:00,nwisaz.01.93000031,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,156,8/11/1930 0:00,nwisaz.01.93000032,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,85,8/21/1930 0:00,nwisaz.01.93000033,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,94,9/1/1930 0:00,nwisaz.01.93000034,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,141,9/11/1930 0:00,nwisaz.01.93000035,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,120,9/21/1930 0:00,nwisaz.01.93000036,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,126,11/1/1942 0:00,nwisaz.01.94300001,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,118,11/11/1942 0:00,nwisaz.01.94300002,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,114,11/21/1942 0:00,nwisaz.01.94300003,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,116,12/2/1942 0:00,nwisaz.01.94300004,Surface Water,USGS-09380000,mg/l,915
Calcium,"Inorganics, Major, Metals",USGS,Historical,119,12/11/1942 0:00,nwisaz.01.94300005,Surface Water,USGS-09380000,mg/l,915
